do_now	title	folder	capture	mural_link	files
2.D	Bookmark a Dataset	dn-2.D-bookmark-a-dataset	5 minutes | Capture: Private | Mural: https://app.mural.co/t/day10626/m/day10626/1790240790066/8a0e211f19fb63b66ee4147019fe1df7c1487486 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240790066/8a0e211f19fb63b66ee4147019fe1df7c1487486	README.md, links.md, board-items.tsv, solution.md
3.A	Summarize for a Named Reader	dn-3.A-summarize-for-a-named-reader	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240791066/a202e3520b49f45cb3ce0dacb8edd98d6be5caba | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240791066/a202e3520b49f45cb3ce0dacb8edd98d6be5caba	README.md, links.md, board-items.tsv, solution.md
3.B	Text to Diagram	dn-3.B-text-to-diagram	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240792054/63f54322d2c0f75ce405203e025fe4fb52ed5c96 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240792054/63f54322d2c0f75ce405203e025fe4fb52ed5c96	README.md, links.md, board-items.tsv, solution.md, process-flow-start.png
3.C	Can I Paste This?	dn-3.C-can-i-paste-this	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240793060/a572c16b9b7a457a03b9f58aa4b4f1549bc6aa27 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240793060/a572c16b9b7a457a03b9f58aa4b4f1549bc6aa27	README.md, links.md, board-items.tsv, solution.md
3.D	Shadow AI Inventory (Optional)	dn-3.D-shadow-ai-inventory-optional	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240794067/bbbcebcdc79046f7d0e730f21cc729837a32d54b | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240794067/bbbcebcdc79046f7d0e730f21cc729837a32d54b	README.md, links.md, board-items.tsv, solution.md
4.A	Add Two Examples	dn-4.A-add-two-examples	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240795063/94dd3b87eefbad8c222457fe2965925f612f9d64 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240795063/94dd3b87eefbad8c222457fe2965925f612f9d64	README.md, links.md, board-items.tsv, solution.md
4.B	Give the Model a Job	dn-4.B-give-the-model-a-job	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240796050/1508b14d84e6e205e4ceef79f89a0161439aacc5 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240796050/1508b14d84e6e205e4ceef79f89a0161439aacc5	README.md, links.md, board-items.tsv, solution.md
4.C	Ask for the Shape You Need	dn-4.C-ask-for-the-shape-you-need	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240797055/48454776887941b3f2ac135dd8b50ec87eb3e071 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240797055/48454776887941b3f2ac135dd8b50ec87eb3e071	README.md, links.md, board-items.tsv, solution.md
4.D	Answer Only From This Document	dn-4.D-answer-only-from-this-document	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240798047/bb4f7fc797862f071a0bbf242278714c38d59ba8 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240798047/bb4f7fc797862f071a0bbf242278714c38d59ba8	README.md, links.md, board-items.tsv, solution.md
5.A	Rank These Risks	dn-5.A-rank-these-risks	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240799056/a4b3b37ad0e4cf67f7ff02483c02f633f8dfb96d | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240799056/a4b3b37ad0e4cf67f7ff02483c02f633f8dfb96d	README.md, links.md, board-items.tsv, solution.md, risk-grid.png
5.B	Confidentiality, Integrity, or Availability?	dn-5.B-confidentiality-integrity-or-availability	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240800062/dc253c526eaf1d6e0ad7d4fd8b4e225cabcf9dfc | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240800062/dc253c526eaf1d6e0ad7d4fd8b4e225cabcf9dfc	README.md, links.md, board-items.tsv, solution.md
5.C	Is This High-Impact AI?	dn-5.C-is-this-high-impact-ai	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240801056/0284e52906674ba3f43b9d17d36c604dd632ce2f | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240801056/0284e52906674ba3f43b9d17d36c604dd632ce2f	README.md, links.md, board-items.tsv, solution.md
5.D	Injection Red Team	dn-5.D-injection-red-team	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240803116/9ea41f85fe9f64168240c970f399fef2c1e4d426 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240803116/9ea41f85fe9f64168240c970f399fef2c1e4d426	README.md, links.md, board-items.tsv, solution.md
5.X	Responsible AI in ML Workflow	dn-5.X-responsible-ai-in-ml-workflow	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240802067/2c53eed9d5cc2bc1f1fb3241456b5a3f6422f003 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240802067/2c53eed9d5cc2bc1f1fb3241456b5a3f6422f003	README.md, links.md, board-items.tsv, solution.md
6.A	Six Dimensions on Ten Rows	dn-6.A-six-dimensions-on-ten-rows	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240804045/16b2e2ffdea384025b2dc3d886d6bc5250b61336 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240804045/16b2e2ffdea384025b2dc3d886d6bc5250b61336	README.md, links.md, board-items.tsv, solution.md, ten-rows.png
6.B	Propose the Schema	dn-6.B-propose-the-schema	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240805042/a46802631aa3862869e69d7648b8dd0dabb41194 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240805042/a46802631aa3862869e69d7648b8dd0dabb41194	README.md, links.md, board-items.tsv, solution.md
6.C	Real, Synthetic, or Neither?	dn-6.C-real-synthetic-or-neither	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240806053/b0cd6453b4523ed6397dd0b0302c1708abbdaf3a | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240806053/b0cd6453b4523ed6397dd0b0302c1708abbdaf3a	README.md, links.md, board-items.tsv, solution.md
6.D	Write the Cleaning Prompt	dn-6.D-write-the-cleaning-prompt	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240807054/1d814f71975cf6050dbac5e3980a4b2baf02bd83 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240807054/1d814f71975cf6050dbac5e3980a4b2baf02bd83	README.md, links.md, board-items.tsv, solution.md
7.A	Hugging Face Tour	dn-7.A-hugging-face-tour	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240808058/4bd52685aa90ea52142c9275d286edd9d9b4f383 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240808058/4bd52685aa90ea52142c9275d286edd9d9b4f383	README.md, links.md, board-items.tsv, solution.md
7.B	Cost at Agency Scale	dn-7.B-cost-at-agency-scale	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240809044/741969c4e1aa6b09012abf0820591d84b02deda0 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240809044/741969c4e1aa6b09012abf0820591d84b02deda0	README.md, links.md, board-items.tsv, solution.md
7.C	Prompt as Code	dn-7.C-prompt-as-code	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240810058/6a5e69ec6fdbe1dfb9aa1eaad4df99206351f9c0 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240810058/6a5e69ec6fdbe1dfb9aa1eaad4df99206351f9c0	README.md, links.md, board-items.tsv, solution.md
7.D	Where Would RAG Fail?	dn-7.D-where-would-rag-fail	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240811068/742737513120bf3105f3ff20334aed989eac0367 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240811068/742737513120bf3105f3ff20334aed989eac0367	README.md, links.md, board-items.tsv, solution.md
8.A	Which Metric Catches This?	dn-8.A-which-metric-catches-this	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240812062/9a284776f839ae4d0b14178717d692959b0db7cc | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240812062/9a284776f839ae4d0b14178717d692959b0db7cc	README.md, links.md, board-items.tsv, solution.md
8.B	Pilot to Production Readiness (Optional)	dn-8.B-pilot-to-production-readiness-optional	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240813063/96493788b851180ec096c7fc5acca7b2be029bce | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240813063/96493788b851180ec096c7fc5acca7b2be029bce	README.md, links.md, board-items.tsv, solution.md
8.C	Critique This Dashboard	dn-8.C-critique-this-dashboard	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240814055/e94decc67aac698205c9bc605390a24096b76f78 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240814055/e94decc67aac698205c9bc605390a24096b76f78	README.md, links.md, board-items.tsv, solution.md, dashboard-sample.png
8.D	Ask, Then Verify (Optional)	dn-8.D-ask-then-verify-optional	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240815059/7cd9ba5bad037a5d50aa2ebcc1e724bb48b31d87 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240815059/7cd9ba5bad037a5d50aa2ebcc1e724bb48b31d87	README.md, links.md, board-items.tsv, solution.md
9.A	Rewrite Your Baseline Prompt	dn-9.A-rewrite-your-baseline-prompt	5 minutes | Capture: Private | Mural: https://app.mural.co/t/day10626/m/day10626/1790240816077/0e541c8cb472eb78fe238a99e07d747194282d74 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240816077/0e541c8cb472eb78fe238a99e07d747194282d74	README.md, links.md, board-items.tsv, solution.md
9.B	Pick Your First Use Case	dn-9.B-pick-your-first-use-case	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240817117/bb9b1cd4420250048e9cc4b1eec9ec1306e7a9e1 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240817117/bb9b1cd4420250048e9cc4b1eec9ec1306e7a9e1	README.md, links.md, board-items.tsv, solution.md
9.C	Name Your Guardrail	dn-9.C-name-your-guardrail	5 minutes | Capture: Chat | Mural: https://app.mural.co/t/day10626/m/day10626/1790240818057/52c39f34ba334f47a1d6865d530e750a9f943bbb | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240818057/52c39f34ba334f47a1d6865d530e750a9f943bbb	README.md, links.md, board-items.tsv, solution.md
9.D	Who Do You Need? (Optional)	dn-9.D-who-do-you-need-optional	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240819050/8ad233c17ae963c61809bfd015485d96afb17718 | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240819050/8ad233c17ae963c61809bfd015485d96afb17718	README.md, links.md, board-items.tsv, solution.md
B.X	Score Toxicity Like a Moderator	dn-B.X-score-toxicity-like-a-moderator	5 minutes | Capture: Mural | Mural: https://app.mural.co/t/day10626/m/day10626/1790240820053/24834b9fd44bd04eddb7749c2a3f9453804164bf | Solution: sample/solution	https://app.mural.co/t/day10626/m/day10626/1790240820053/24834b9fd44bd04eddb7749c2a3f9453804164bf	README.md, links.md, board-items.tsv, solution.md
